Date,Open,High,Low,Close,Adj Close,Volume
09/04/2018,3.3775,3.44,3.3575,3.37,3.016154,22814400
10/04/2018,3.42,3.465,3.3775,3.42,3.060905,23154400
11/04/2018,3.405,3.495,3.4,3.46,3.096705,17136000
12/04/2018,3.465,3.4675,3.3675,3.4075,3.049717,12457600
13/04/2018,3.4325,3.485,3.3875,3.4025,3.045242,12754800
16/04/2018,3.4325,3.475,3.4,3.4525,3.089992,12910800
17/04/2018,3.4725,3.545,3.46,3.485,3.11908,17155600
18/04/2018,3.4975,3.5075,3.4,3.415,3.05643,14293200
19/04/2018,3.415,3.445,3.3625,3.38,3.025105,10029600
20/04/2018,3.3675,3.385,3.2025,3.22,2.881904,24803200
23/04/2018,3.225,3.3375,3.225,3.3,2.953504,14771600
24/04/2018,3.3225,3.41,3.28,3.3525,3.000492,14454400
25/04/2018,3.3375,3.4075,3.3225,3.365,3.011679,14588400
26/04/2018,3.4,3.47,3.3625,3.4175,3.058667,12848000
27/04/2018,3.42,3.4775,3.4,3.465,3.10118,10002400
30/04/2018,3.4925,3.5,3.39,3.4125,3.054192,12607600
01/05/2018,3.395,3.4725,3.3675,3.4625,3.098942,9638800
02/05/2018,3.465,3.4675,3.3375,3.3625,3.009442,12727200
03/05/2018,3.355,3.3725,3.2,3.2075,2.870717,20365600
04/05/2018,3.2075,3.27,3.185,3.25,2.908755,19612400
07/05/2018,3.255,3.2575,3.195,3.2225,2.884142,12474000
08/05/2018,3.21,3.235,3.1375,3.1975,2.861767,15356000
09/05/2018,3.205,3.24,3.1525,3.2325,2.893092,15011600
10/05/2018,3.24,3.3,3.22,3.2575,2.915467,12474000
11/05/2018,3.15,3.21,3.1175,3.1775,2.843867,22029600
14/05/2018,3.1725,3.37,3.1525,3.315,2.966929,23629600
15/05/2018,3.3125,3.4025,3.3075,3.3775,3.022867,15160800
16/05/2018,3.4375,3.47,3.3325,3.3875,3.031817,26954000
17/05/2018,3.375,3.4425,3.37,3.405,3.04748,11648000
18/05/2018,3.3825,3.3825,3.065,3.115,2.787929,40947600
21/05/2018,3.13,3.2225,3.1225,3.195,2.859529,20262800
22/05/2018,3.195,3.2275,3.135,3.1675,2.834917,18169600
23/05/2018,3.135,3.1875,3.11,3.18,2.846104,12640400
24/05/2018,3.145,3.195,3.1125,3.185,2.850579,12308000
25/05/2018,3.19,3.2,3.145,3.1675,2.834917,9776000
29/05/2018,3.145,3.2775,3.1375,3.2625,2.919942,16962800
