Date,Open,High,Low,Close,Adj Close,Volume
09/04/2018,4081.15,4107.32,4069.84,4105.02,4105.02,3486690000
10/04/2018,4094.5,4099.69,4072.56,4090.38,4090.38,3968020000
11/04/2018,4128.03,4133.13,4086.87,4100.6,4100.6,4227800000
12/04/2018,4102.2,4127.66,4098.79,4124.51,4124.51,4234700000
13/04/2018,4056.18,4110.75,4056.18,4109.31,4109.31,4525120000
16/04/2018,4046.74,4057.85,4032.1,4050.83,4050.83,3930860000
17/04/2018,3999.53,4030.59,3999.53,4027.81,4027.81,4145250000
18/04/2018,3974.13,3979.2,3951.53,3971.27,3971.27,4014600000
19/04/2018,3982.93,4003.83,3970.49,3977.53,3977.53,4233540000
20/04/2018,3939.21,3972.74,3909.16,3970.99,3970.99,4583970000
23/04/2018,3959.21,4007.66,3919.05,3948.72,3948.72,4991600000
24/04/2018,4002.04,4039.49,3936.17,3936.97,3936.97,4533010000
25/04/2018,3975.89,4009.08,3971.19,4002.87,4002.87,4920240000
26/04/2018,3917.47,3956.62,3916.89,3951.57,3951.57,5347140000
27/04/2018,3958.69,3958.91,3901.27,3916.64,3916.64,9354280000
30/04/2018,3878.93,3964.46,3864.11,3960.28,3960.28,5695790000
01/05/2018,3876.74,3894.26,3838.24,3891.93,3891.93,6594010000
02/05/2018,3894.01,3937.29,3873.63,3919.29,3919.29,5665870000
03/05/2018,3835.12,3905.05,3808.86,3855.76,3855.76,6558020000
04/05/2018,3912.77,3934.05,3846.32,3861.59,3861.59,5518190000
07/05/2018,3998.66,4017.81,3908.7,3918.32,3918.32,4445260000
08/05/2018,3987.55,4000.41,3969.76,3992.01,3992.01,3535570000
09/05/2018,4048.26,4050,3980.31,3986.37,3986.37,3922500000
10/05/2018,4055.15,4078.49,4044.61,4048.42,4048.42,4000870000
11/05/2018,3998.02,4048.29,3995.17,4045.64,4045.64,4084730000
14/05/2018,3938.68,3990.84,3928.16,3981.35,3981.35,4244900000
