Bank Name,Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
First Republic Bank,01-May-23,"$229,100.00 ","$103,900.00 "
Signature Bank,12-Mar-23,"$110,400.00 ","$88,600.00 "
Silicon Valley Bank,10-Mar-23,"$209,000.00 ","$175,400.00 "
Almena State Bank,23-Oct-20,$70.00 ,$68.70 
First City Bank of Florida,16-Oct-20,$134.70 ,$131.40 
First State Bank,03-Apr-20,$152.40 ,$139.50 
Ericson State Bank,14-Feb-20,$100.90 ,$95.20 
City National Bank of New Jersey,01-Nov-19,$120.60 ,$111.20 
Resolute Bank,25-Oct-19,$27.10 ,$26.20 
Louisa Community Bank,25-Oct-19,$29.70 ,$26.50 
The Enloe State Bank,31-May-19,$36.70 ,$31.30 
Washington Federal Bank for Savings,15-Dec-17,$166.30 ,$144.00 
The Farmers and Merchants State Bank of Argonia,13-Oct-17,$34.20 ,$29.60 
Fayette County Bank,26-May-17,$34.40 ,$34.00 
Guaranty Bank,05-May-17,"$1,000.00 ","$1,000.00 "
First NBC Bank,28-Apr-17,"$4,740.00 ","$3,540.00 "
Proficio Bank,03-Mar-17,$68.20 ,$65.00 
Seaway Bank and Trust Company,27-Jan-17,$361.20 ,$307.10 
Harvest Community Bank,13-Jan-17,$126.40 ,$123.80 
Allied Bank,23-Sep-16,$66.30 ,$64.70 
The Woodbury Banking Company,19-Aug-16,$21.40 ,$21.10 
First CornerStone Bank,06-May-16,$103.30 ,$101.00 
Trust Company Bank,29-Apr-16,$20.70 ,$20.30 
North Milwaukee State Bank,11-Mar-16,$67.10 ,$61.50 
Hometown National Bank,02-Oct-15,$4.90 ,$4.70 
The Bank of Georgia,02-Oct-15,$294.20 ,$280.70 
Premier Bank,10-Jul-15,$31.70 ,$29.60 
Edgebrook Bank,08-May-15,$90.00 ,$90.00 
Doral Bank,27-Feb-15,"$5,900.00 ","$4,100.00 "
Capitol City Bank & Trust Company,13-Feb-15,$272.30 ,$262.70 
Highland Community Bank,23-Jan-15,$54.70 ,$53.50 
First National Bank of Crestview,16-Jan-15,$79.70 ,$78.60 
Northern Star Bank,19-Dec-14,$18.80 ,$18.20 
Frontier Bank,07-Nov-14,$86.40 ,$82.10 
The National Republic Bank of Chicago,24-Oct-14,$954.40 ,$915.30 
NBRS Financial,17-Oct-14,$188.20 ,$183.10 
GreenChoice Bank,25-Jul-14,$72.90 ,$71.00 
Eastside Commercial Bank,18-Jul-14,$169.00 ,$161.60 
The Freedom State Bank,27-Jun-14,$22.80 ,$20.90 
Valley Bank,20-Jun-14,$81.80 ,$66.50 
Valley Bank,20-Jun-14,$456.40 ,$360.00 
Slavie Federal Savings Bank,30-May-14,$140.10 ,$111.10 
