Company,Symbol,Weight
Apple Inc,AAPL,7.466181
Microsoft Corp,MSFT,6.860771
Amazon.com Inc,AMZN,3.064611
Nvidia Corp,NVDA,2.957218
Tesla Inc,TSLA,2.018166
Alphabet Inc Cl A,GOOGL,1.996184
Alphabet Inc Cl C,GOOG,1.727553
Meta Platforms Inc Class A,META,1.7168
Berkshire Hathaway Inc Cl B,BRK-B,1.648476
Unitedhealth Group Inc,UNH,1.192834
Johnson & Johnson,JNJ,1.164214
Jpmorgan Chase & Co,JPM,1.136872
Exxon Mobil Corp,XOM,1.133553
Visa Inc Class a Shares,V,1.000301
Broadcom Inc,AVGO,0.983675
Eli Lilly & Co,LLY,0.971716
Procter & Gamble Co,PG,0.952893
Mastercard Inc A,MA,0.855603
Home Depot Inc,HD,0.833117
Merck & Co. Inc.,MRK,0.763442
Chevron Corp,CVX,0.730999
Pepsico Inc,PEP,0.695779
Abbvie Inc,ABBV,0.664454
Coca Cola Co,KO,0.650008
Costco Wholesale Corp,COST,0.628673
Adobe Inc,ADBE,0.608314
Pfizer Inc,PFE,0.606184
Walmart Inc,WMT,0.589363
Mcdonald S Corp,MCD,0.585109
Salesforce Inc,CRM,0.579798
Cisco Systems Inc,CSCO,0.577333
Thermo Fisher Scientific Inc,TMO,0.555255
Accenture Plc Cl A,ACN,0.547126
Bank of America Corp,BAC,0.546337
Netflix Inc,NFLX,0.527762
Advanced Micro Devices,AMD,0.522767
Oracle Corp,ORCL,0.512615
Abbott Laboratories,ABT,0.507191
Linde Plc,LIN,0.492687
Comcast Corp Class A,CMCSA,0.461387
Walt Disney Co,DIS,0.44698
Texas Instruments Inc,TXN,0.430671
Wells Fargo & Co,WFC,0.429024
Danaher Corp,DHR,0.428881
Nextera Energy Inc,NEE,0.412893
Verizon Communications Inc,VZ,0.410025
Philip Morris International,PM,0.400736
Intel Corp,INTC,0.398466
Raytheon Technologies Corp,RTX,0.3902
Bristol Myers Squibb Co,BMY,0.378633
Nike Inc Cl B,NKE,0.368382
Honeywell International Inc,HON,0.365023
Qualcomm Inc,QCOM,0.364152
S&p Global Inc,SPGI,0.351665
Lowe S Cos Inc,LOW,0.350718
United Parcel Service Cl B,UPS,0.350689
Intuit Inc,INTU,0.349131
Caterpillar Inc,CAT,0.339214
Conocophillips,COP,0.336992
Intl Business Machines Corp,IBM,0.336979
Union Pacific Corp,UNP,0.33591
Amgen Inc,AMGN,0.332768
Boeing Co,BA,0.327797
Medtronic Plc,MDT,0.322528
Applied Materials Inc,AMAT,0.31838
Starbucks Corp,SBUX,0.317312
Intuitive Surgical Inc,ISRG,0.313169
Servicenow Inc,NOW,0.311138
Morgan Stanley,MS,0.308911
General Electric Co,GE,0.308397
At&t Inc,T,0.306652
Prologis Inc,PLD,0.303629
Deere & Co,DE,0.300766
Goldman Sachs Group Inc,GS,0.300099
Elevance Health Inc,ELV,0.283358
Blackrock Inc,BLK,0.282539
Lockheed Martin Corp,LMT,0.281997
American Express Co,AXP,0.274852
Stryker Corp,SYK,0.273739
Mondelez International Inc A,MDLZ,0.272342
Booking Holdings Inc,BKNG,0.265799
Gilead Sciences Inc,GILD,0.264186
Analog Devices Inc,ADI,0.259752
Tjx Companies Inc,TJX,0.253191
Citigroup Inc,C,0.252983
Automatic Data Processing,ADP,0.248832
Marsh & Mclennan Cos,MMC,0.244409
American Tower Corp,AMT,0.240861
Cvs Health Corp,CVS,0.240398
Vertex Pharmaceuticals Inc,VRTX,0.240186
Regeneron Pharmaceuticals,REGN,0.22895
Lam Research Corp,LRCX,0.225945
Schwab (Charles) Corp,SCHW,0.218753
Chubb Ltd,CB,0.218323
The Cigna Group,CI,0.218088
Zoetis Inc,ZTS,0.21427
Boston Scientific Corp,BSX,0.212063
Altria Group Inc,MO,0.211569
Eaton Corp Plc,ETN,0.210595
